Opioid Data Dashboard Indicator,Data Year,Group,Characteristics,Rate Rate (95% CI),Data Source
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Sex,Female,13.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Sex,Male,41.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Total,New York State,27,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Age Group,0-17 years,6.9,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Age Group,18-24 years,451.1,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Age Group,25-44 years,593.3,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Age Group,45-64 years,311.7,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Age Group,65+ years,55.7,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Race and Ethnicity,Asian/PI NH,20.6,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Race and Ethnicity,Black NH,245.4,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Race and Ethnicity,Hispanic,251,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Race and Ethnicity,White NH,313,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Region,NYS Excl NYC,300.2,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Region,New York City,291.5,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Sex,Female,173.2,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Sex,Male,427.1,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2016,Total,New York State,296.5,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Age Group,0-17 years,6.8,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Age Group,18-24 years,362.3,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Age Group,25-44 years,615.5,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Age Group,45-64 years,341.7,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Age Group,65+ years,63.2,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Race and Ethnicity,Asian/PI NH,21.7,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Race and Ethnicity,Black NH,274.5,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Race and Ethnicity,Hispanic,268.2,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Race and Ethnicity,White NH,306,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Region,NYS Excl NYC,293.6,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Region,New York City,314.5,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Sex,Female,176,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Sex,Male,436.7,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2017,Total,New York State,302.6,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Age Group,0-17 years,5.1,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Age Group,18-24 years,270.4,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Age Group,25-44 years,577.2,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Age Group,45-64 years,337.2,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Age Group,65+ years,71.9,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Race and Ethnicity,Asian/PI NH,21.1,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Race and Ethnicity,Black NH,276.7,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Race and Ethnicity,Hispanic,280,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Race and Ethnicity,White NH,272.6,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Region,NYS Excl NYC,258.2,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Region,New York City,316.4,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Sex,Female,161.6,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Sex,Male,412.1,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2018,Total,New York State,283.2,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2019,Age Group,0-17 years,3.9,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2019,Age Group,18-24 years,206.4,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2019,Age Group,25-44 years,536.3,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2019,Age Group,45-64 years,314.8,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2019,Age Group,65+ years,76.9,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2019,Race and Ethnicity,Asian/PI NH,21.5,Data Source: Vital Statistics and SPARCS Data as of March 2025
"Overdose deaths involving opioids and nonfatal opioid related hospital events, crude rate per 100,000 population",2019,Race and Ethnicity,Black NH,263.1,Data Source: Vital Statistics and SPARCS Data as of March 2025
